"Reported road collisions by contributory factor and local authority, Great Britain, 10 years up to 2021",,,,,,
"This worksheet contains two tables, separated by a blank column. Some cells refer to notes which can be found on the notes worksheet.",,,,,,
Some cells in the 'Code_Local authority' field are labelled with 'no data' because they do not have an ONS identifier code. ,,,,,,
"Filters are active in row 5 and may hide some data. To turn off all filters select the ‘Data’ ribbon then ‘Filters’ button or use [Ctrl, Shift, L]’. ",,,,,,
Section,Contributory factor reported in accident [note 1],Region (ONS code),Region (name),Local authority (ONS code),Local authority (name),2020
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000007,London,E09000025,Newham,7
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000007,London,E09000025,Newham,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000007,London,E09000025,Newham,12
Behaviour or inexperience,Inexperience of driving on the left,E12000007,London,E09000025,Newham,0
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000007,London,E09000025,Newham,1
Vision affected by external factors,Vision affected by external factors,E12000007,London,E09000025,Newham,28
Vision affected by external factors,Stationary or parked vehicle(s),E12000007,London,E09000025,Newham,13
Vision affected by external factors,Vegetation,E12000007,London,E09000025,Newham,0
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000007,London,E09000025,Newham,0
Vision affected by external factors,"Buildings, road signs, street furniture",E12000007,London,E09000025,Newham,2
Vision affected by external factors,Dazzling headlights,E12000007,London,E09000025,Newham,1
Vision affected by external factors,Dazzling sun,E12000007,London,E09000025,Newham,2
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000007,London,E09000025,Newham,6
Vision affected by external factors,Spray from other vehicles,E12000007,London,E09000025,Newham,1
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000007,London,E09000025,Newham,1
Vision affected by external factors,Vehicle blind spot,E12000007,London,E09000025,Newham,4
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000007,London,E09000025,Newham,70
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000007,London,E09000025,Newham,9
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000007,London,E09000025,Newham,49
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000007,London,E09000025,Newham,9
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000007,London,E09000025,Newham,2
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000007,London,E09000025,Newham,4
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000007,London,E09000025,Newham,3
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000007,London,E09000025,Newham,0
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000007,London,E09000025,Newham,10
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000007,London,E09000025,Newham,2
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000007,London,E09000025,Newham,5
Special codes,Special Codes,E12000007,London,E09000025,Newham,22
Special codes,Stolen vehicle,E12000007,London,E09000025,Newham,3
Special codes,Vehicle in course of crime,E12000007,London,E09000025,Newham,5
Special codes,Emergency vehicle on a call,E12000007,London,E09000025,Newham,0
Special codes,Vehicle door opened or closed negligently,E12000007,London,E09000025,Newham,3
Special codes,Other,E12000007,London,E09000025,Newham,13
Any CF,Any CF,E12000007,London,E09000025,Newham,405
Road environment contributed,Road environment contributed,E12000007,London,E09000026,Redbridge,26
Road environment contributed,Poor or defective road surface ,E12000007,London,E09000026,Redbridge,2
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000007,London,E09000026,Redbridge,1
Road environment contributed,Slippery road (due to weather),E12000007,London,E09000026,Redbridge,21
Road environment contributed,Inadequate or masked signs or road markings,E12000007,London,E09000026,Redbridge,0
Road environment contributed,Defective traffic signals,E12000007,London,E09000026,Redbridge,0
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000007,London,E09000026,Redbridge,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000007,London,E09000026,Redbridge,0
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000007,London,E09000026,Redbridge,2
Road environment contributed,Animal or object in carriageway ,E12000007,London,E09000026,Redbridge,0
Road environment contributed,Slippery inspection cover or road marking,E12000007,London,E09000026,Redbridge,0
Vehicle defects,Vehicle defects,E12000007,London,E09000026,Redbridge,6
Vehicle defects,"Tyres illegal, defective or under inflated",E12000007,London,E09000026,Redbridge,1
Vehicle defects,Defective lights or indicators,E12000007,London,E09000026,Redbridge,1
Vehicle defects,Defective brakes,E12000007,London,E09000026,Redbridge,2
Vehicle defects,Defective steering or suspension,E12000007,London,E09000026,Redbridge,0
Vehicle defects,Defective or missing mirrors,E12000007,London,E09000026,Redbridge,1
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000007,London,E09000026,Redbridge,1
Injudicious decision,Injudicious action,E12000007,London,E09000026,Redbridge,54
Injudicious decision,Disobeyed automatic traffic signal,E12000007,London,E09000026,Redbridge,6
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000007,London,E09000026,Redbridge,4
Injudicious decision,Disobeyed double white lines,E12000007,London,E09000026,Redbridge,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000007,London,E09000026,Redbridge,1
Injudicious decision,Illegal turn or direction of travel,E12000007,London,E09000026,Redbridge,6
Injudicious decision,Exceeding speed limit,E12000007,London,E09000026,Redbridge,22
Injudicious decision,Travelling too fast for conditions,E12000007,London,E09000026,Redbridge,12
Injudicious decision,Following too close,E12000007,London,E09000026,Redbridge,9
Injudicious decision,Vehicle travelling along pavement,E12000007,London,E09000026,Redbridge,2
Injudicious decision,Cyclist entering road from pavement,E12000007,London,E09000026,Redbridge,1
Driver or rider error or reaction,Driver/Rider error or reaction,E12000007,London,E09000026,Redbridge,224
Driver or rider error or reaction,Junction overshoot,E12000007,London,E09000026,Redbridge,16
Driver or rider error or reaction,Junction restart (moving off at junction),E12000007,London,E09000026,Redbridge,4
Driver or rider error or reaction,Poor turn or manoeuvre,E12000007,London,E09000026,Redbridge,47
Driver or rider error or reaction,Failed to signal or misleading signal,E12000007,London,E09000026,Redbridge,12
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000007,London,E09000026,Redbridge,107
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000007,London,E09000026,Redbridge,70
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000007,London,E09000026,Redbridge,3
Driver or rider error or reaction,Sudden braking,E12000007,London,E09000026,Redbridge,19
Driver or rider error or reaction,Swerved,E12000007,London,E09000026,Redbridge,15
Driver or rider error or reaction,Loss of control,E12000007,London,E09000026,Redbridge,23
Impairment or distraction,Impairment or distraction,E12000007,London,E09000026,Redbridge,36
Impairment or distraction,Driver/Rider impaired by alcohol,E12000007,London,E09000026,Redbridge,15
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000007,London,E09000026,Redbridge,6
Impairment or distraction,Fatigue,E12000007,London,E09000026,Redbridge,4
Impairment or distraction,"Uncorrected, defective eyesight",E12000007,London,E09000026,Redbridge,0
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000007,London,E09000026,Redbridge,5
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000007,London,E09000026,Redbridge,0
Impairment or distraction,Rider wearing dark clothing,E12000007,London,E09000026,Redbridge,0
Impairment or distraction,Driver using mobile phone,E12000007,London,E09000026,Redbridge,0
Impairment or distraction,Distraction in vehicle,E12000007,London,E09000026,Redbridge,6
Impairment or distraction,Distraction outside vehicle,E12000007,London,E09000026,Redbridge,4
Behaviour or inexperience,Behaviour or inexperience,E12000007,London,E09000026,Redbridge,64
Behaviour or inexperience,Aggressive driving,E12000007,London,E09000026,Redbridge,20
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000007,London,E09000026,Redbridge,42
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000007,London,E09000026,Redbridge,4
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000007,London,E09000026,Redbridge,1
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000007,London,E09000026,Redbridge,8
Behaviour or inexperience,Inexperience of driving on the left,E12000007,London,E09000026,Redbridge,3
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000007,London,E09000026,Redbridge,0
Vision affected by external factors,Vision affected by external factors,E12000007,London,E09000026,Redbridge,30
Vision affected by external factors,Stationary or parked vehicle(s),E12000007,London,E09000026,Redbridge,15
Vision affected by external factors,Vegetation,E12000007,London,E09000026,Redbridge,0
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000007,London,E09000026,Redbridge,1
Vision affected by external factors,"Buildings, road signs, street furniture",E12000007,London,E09000026,Redbridge,0
Vision affected by external factors,Dazzling headlights,E12000007,London,E09000026,Redbridge,0
Vision affected by external factors,Dazzling sun,E12000007,London,E09000026,Redbridge,3
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000007,London,E09000026,Redbridge,3
Vision affected by external factors,Spray from other vehicles,E12000007,London,E09000026,Redbridge,0
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000007,London,E09000026,Redbridge,2
Vision affected by external factors,Vehicle blind spot,E12000007,London,E09000026,Redbridge,7
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000007,London,E09000026,Redbridge,46
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000007,London,E09000026,Redbridge,5
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000007,London,E09000026,Redbridge,32
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000007,London,E09000026,Redbridge,7
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000007,London,E09000026,Redbridge,3
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000007,London,E09000026,Redbridge,1
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000007,London,E09000026,Redbridge,4
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000007,London,E09000026,Redbridge,0
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000007,London,E09000026,Redbridge,6
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000007,London,E09000026,Redbridge,2
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000007,London,E09000026,Redbridge,0
Special codes,Special Codes,E12000007,London,E09000026,Redbridge,20
Special codes,Stolen vehicle,E12000007,London,E09000026,Redbridge,3
Special codes,Vehicle in course of crime,E12000007,London,E09000026,Redbridge,10
Special codes,Emergency vehicle on a call,E12000007,London,E09000026,Redbridge,4
Special codes,Vehicle door opened or closed negligently,E12000007,London,E09000026,Redbridge,1
Special codes,Other,E12000007,London,E09000026,Redbridge,8
Any CF,Any CF,E12000007,London,E09000026,Redbridge,337
Road environment contributed,Road environment contributed,E12000007,London,E09000027,Richmond upon Thames,27
Road environment contributed,Poor or defective road surface ,E12000007,London,E09000027,Richmond upon Thames,3
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000007,London,E09000027,Richmond upon Thames,1
Road environment contributed,Slippery road (due to weather),E12000007,London,E09000027,Richmond upon Thames,18
Road environment contributed,Inadequate or masked signs or road markings,E12000007,London,E09000027,Richmond upon Thames,1
Road environment contributed,Defective traffic signals,E12000007,London,E09000027,Richmond upon Thames,0
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000007,London,E09000027,Richmond upon Thames,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000007,London,E09000027,Richmond upon Thames,1
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000007,London,E09000027,Richmond upon Thames,3
Road environment contributed,Animal or object in carriageway ,E12000007,London,E09000027,Richmond upon Thames,0
Road environment contributed,Slippery inspection cover or road marking,E12000007,London,E09000027,Richmond upon Thames,0
Vehicle defects,Vehicle defects,E12000007,London,E09000027,Richmond upon Thames,3
Vehicle defects,"Tyres illegal, defective or under inflated",E12000007,London,E09000027,Richmond upon Thames,1
Vehicle defects,Defective lights or indicators,E12000007,London,E09000027,Richmond upon Thames,0
Vehicle defects,Defective brakes,E12000007,London,E09000027,Richmond upon Thames,1
Vehicle defects,Defective steering or suspension,E12000007,London,E09000027,Richmond upon Thames,1
Vehicle defects,Defective or missing mirrors,E12000007,London,E09000027,Richmond upon Thames,0
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000007,London,E09000027,Richmond upon Thames,0
Injudicious decision,Injudicious action,E12000007,London,E09000027,Richmond upon Thames,36
Injudicious decision,Disobeyed automatic traffic signal,E12000007,London,E09000027,Richmond upon Thames,5
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000007,London,E09000027,Richmond upon Thames,3
Injudicious decision,Disobeyed double white lines,E12000007,London,E09000027,Richmond upon Thames,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000007,London,E09000027,Richmond upon Thames,1
Injudicious decision,Illegal turn or direction of travel,E12000007,London,E09000027,Richmond upon Thames,3
Injudicious decision,Exceeding speed limit,E12000007,London,E09000027,Richmond upon Thames,15
Injudicious decision,Travelling too fast for conditions,E12000007,London,E09000027,Richmond upon Thames,10
Injudicious decision,Following too close,E12000007,London,E09000027,Richmond upon Thames,5
Injudicious decision,Vehicle travelling along pavement,E12000007,London,E09000027,Richmond upon Thames,2
Injudicious decision,Cyclist entering road from pavement,E12000007,London,E09000027,Richmond upon Thames,1
Driver or rider error or reaction,Driver/Rider error or reaction,E12000007,London,E09000027,Richmond upon Thames,184
Driver or rider error or reaction,Junction overshoot,E12000007,London,E09000027,Richmond upon Thames,5
Driver or rider error or reaction,Junction restart (moving off at junction),E12000007,London,E09000027,Richmond upon Thames,4
Driver or rider error or reaction,Poor turn or manoeuvre,E12000007,London,E09000027,Richmond upon Thames,29
Driver or rider error or reaction,Failed to signal or misleading signal,E12000007,London,E09000027,Richmond upon Thames,3
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000007,London,E09000027,Richmond upon Thames,97
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000007,London,E09000027,Richmond upon Thames,52
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000007,London,E09000027,Richmond upon Thames,6
Driver or rider error or reaction,Sudden braking,E12000007,London,E09000027,Richmond upon Thames,17
Driver or rider error or reaction,Swerved,E12000007,London,E09000027,Richmond upon Thames,13
Driver or rider error or reaction,Loss of control,E12000007,London,E09000027,Richmond upon Thames,33
Impairment or distraction,Impairment or distraction,E12000007,London,E09000027,Richmond upon Thames,27
Impairment or distraction,Driver/Rider impaired by alcohol,E12000007,London,E09000027,Richmond upon Thames,9
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000007,London,E09000027,Richmond upon Thames,1
Impairment or distraction,Fatigue,E12000007,London,E09000027,Richmond upon Thames,2
Impairment or distraction,"Uncorrected, defective eyesight",E12000007,London,E09000027,Richmond upon Thames,0
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000007,London,E09000027,Richmond upon Thames,2
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000007,London,E09000027,Richmond upon Thames,3
Impairment or distraction,Rider wearing dark clothing,E12000007,London,E09000027,Richmond upon Thames,1
Impairment or distraction,Driver using mobile phone,E12000007,London,E09000027,Richmond upon Thames,2
Impairment or distraction,Distraction in vehicle,E12000007,London,E09000027,Richmond upon Thames,8
Impairment or distraction,Distraction outside vehicle,E12000007,London,E09000027,Richmond upon Thames,3
Behaviour or inexperience,Behaviour or inexperience,E12000007,London,E09000027,Richmond upon Thames,48
Behaviour or inexperience,Aggressive driving,E12000007,London,E09000027,Richmond upon Thames,11
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000007,London,E09000027,Richmond upon Thames,30
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000007,London,E09000027,Richmond upon Thames,4
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000007,London,E09000027,Richmond upon Thames,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000007,London,E09000027,Richmond upon Thames,7
Behaviour or inexperience,Inexperience of driving on the left,E12000007,London,E09000027,Richmond upon Thames,0
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000007,London,E09000027,Richmond upon Thames,1
Vision affected by external factors,Vision affected by external factors,E12000007,London,E09000027,Richmond upon Thames,27
Vision affected by external factors,Stationary or parked vehicle(s),E12000007,London,E09000027,Richmond upon Thames,9
Vision affected by external factors,Vegetation,E12000007,London,E09000027,Richmond upon Thames,1
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000007,London,E09000027,Richmond upon Thames,4
Vision affected by external factors,"Buildings, road signs, street furniture",E12000007,London,E09000027,Richmond upon Thames,2
Vision affected by external factors,Dazzling headlights,E12000007,London,E09000027,Richmond upon Thames,0
Vision affected by external factors,Dazzling sun,E12000007,London,E09000027,Richmond upon Thames,6
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000007,London,E09000027,Richmond upon Thames,1
Vision affected by external factors,Spray from other vehicles,E12000007,London,E09000027,Richmond upon Thames,0
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000007,London,E09000027,Richmond upon Thames,0
Vision affected by external factors,Vehicle blind spot,E12000007,London,E09000027,Richmond upon Thames,5
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000007,London,E09000027,Richmond upon Thames,20
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000007,London,E09000027,Richmond upon Thames,2
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000007,London,E09000027,Richmond upon Thames,15
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000007,London,E09000027,Richmond upon Thames,2
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000007,London,E09000027,Richmond upon Thames,1
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000007,London,E09000027,Richmond upon Thames,1
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000007,London,E09000027,Richmond upon Thames,1
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000007,London,E09000027,Richmond upon Thames,0
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000007,London,E09000027,Richmond upon Thames,7
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000007,London,E09000027,Richmond upon Thames,1
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000007,London,E09000027,Richmond upon Thames,0
Special codes,Special Codes,E12000007,London,E09000027,Richmond upon Thames,10
Special codes,Stolen vehicle,E12000007,London,E09000027,Richmond upon Thames,3
Special codes,Vehicle in course of crime,E12000007,London,E09000027,Richmond upon Thames,2
Special codes,Emergency vehicle on a call,E12000007,London,E09000027,Richmond upon Thames,0
Special codes,Vehicle door opened or closed negligently,E12000007,London,E09000027,Richmond upon Thames,1
Special codes,Other,E12000007,London,E09000027,Richmond upon Thames,5
Any CF,Any CF,E12000007,London,E09000027,Richmond upon Thames,247
Road environment contributed,Road environment contributed,E12000007,London,E09000028,Southwark,37
Road environment contributed,Poor or defective road surface ,E12000007,London,E09000028,Southwark,0
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000007,London,E09000028,Southwark,2
Road environment contributed,Slippery road (due to weather),E12000007,London,E09000028,Southwark,25
Road environment contributed,Inadequate or masked signs or road markings,E12000007,London,E09000028,Southwark,0
Road environment contributed,Defective traffic signals,E12000007,London,E09000028,Southwark,1
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000007,London,E09000028,Southwark,1
Road environment contributed,Temporary road layout (eg. contraflow),E12000007,London,E09000028,Southwark,0
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000007,London,E09000028,Southwark,6
Road environment contributed,Animal or object in carriageway ,E12000007,London,E09000028,Southwark,1
Road environment contributed,Slippery inspection cover or road marking,E12000007,London,E09000028,Southwark,1
Vehicle defects,Vehicle defects,E12000007,London,E09000028,Southwark,9
Vehicle defects,"Tyres illegal, defective or under inflated",E12000007,London,E09000028,Southwark,1
Vehicle defects,Defective lights or indicators,E12000007,London,E09000028,Southwark,2
Vehicle defects,Defective brakes,E12000007,London,E09000028,Southwark,6
Vehicle defects,Defective steering or suspension,E12000007,London,E09000028,Southwark,0
Vehicle defects,Defective or missing mirrors,E12000007,London,E09000028,Southwark,1
Vehicle defects,Overloaded or poorly loaded vehicle or trailer,E12000007,London,E09000028,Southwark,0
Injudicious decision,Injudicious action,E12000007,London,E09000028,Southwark,74
Injudicious decision,Disobeyed automatic traffic signal,E12000007,London,E09000028,Southwark,10
Injudicious decision,Disobeyed 'Give Way' or 'Stop' sign or markings,E12000007,London,E09000028,Southwark,7
Injudicious decision,Disobeyed double white lines,E12000007,London,E09000028,Southwark,0
Injudicious decision,Disobeyed pedestrian crossing facility,E12000007,London,E09000028,Southwark,2
Injudicious decision,Illegal turn or direction of travel,E12000007,London,E09000028,Southwark,6
Injudicious decision,Exceeding speed limit,E12000007,London,E09000028,Southwark,28
Injudicious decision,Travelling too fast for conditions,E12000007,London,E09000028,Southwark,21
Injudicious decision,Following too close,E12000007,London,E09000028,Southwark,8
Injudicious decision,Vehicle travelling along pavement,E12000007,London,E09000028,Southwark,3
Injudicious decision,Cyclist entering road from pavement,E12000007,London,E09000028,Southwark,3
Driver or rider error or reaction,Driver/Rider error or reaction,E12000007,London,E09000028,Southwark,403
Driver or rider error or reaction,Junction overshoot,E12000007,London,E09000028,Southwark,11
Driver or rider error or reaction,Junction restart (moving off at junction),E12000007,London,E09000028,Southwark,10
Driver or rider error or reaction,Poor turn or manoeuvre,E12000007,London,E09000028,Southwark,92
Driver or rider error or reaction,Failed to signal or misleading signal,E12000007,London,E09000028,Southwark,27
Driver or rider error or reaction,Driver/Rider failed to look properly,E12000007,London,E09000028,Southwark,228
Driver or rider error or reaction,Driver/Rider failed to judge other person`s path or speed,E12000007,London,E09000028,Southwark,107
Driver or rider error or reaction,"Too close to cyclist, horse rider or pedestrian",E12000007,London,E09000028,Southwark,19
Driver or rider error or reaction,Sudden braking,E12000007,London,E09000028,Southwark,24
Driver or rider error or reaction,Swerved,E12000007,London,E09000028,Southwark,16
Driver or rider error or reaction,Loss of control,E12000007,London,E09000028,Southwark,33
Impairment or distraction,Impairment or distraction,E12000007,London,E09000028,Southwark,58
Impairment or distraction,Driver/Rider impaired by alcohol,E12000007,London,E09000028,Southwark,16
Impairment or distraction,Driver/Rider impaired by drugs (illicit or medicinal),E12000007,London,E09000028,Southwark,7
Impairment or distraction,Fatigue,E12000007,London,E09000028,Southwark,3
Impairment or distraction,"Uncorrected, defective eyesight",E12000007,London,E09000028,Southwark,0
Impairment or distraction,"Driver/Rider illness or disability, mental or physical",E12000007,London,E09000028,Southwark,4
Impairment or distraction,Not displaying lights at night or in poor visibility,E12000007,London,E09000028,Southwark,2
Impairment or distraction,Rider wearing dark clothing,E12000007,London,E09000028,Southwark,3
Impairment or distraction,Driver using mobile phone,E12000007,London,E09000028,Southwark,4
Impairment or distraction,Distraction in vehicle,E12000007,London,E09000028,Southwark,10
Impairment or distraction,Distraction outside vehicle,E12000007,London,E09000028,Southwark,16
Behaviour or inexperience,Behaviour or inexperience,E12000007,London,E09000028,Southwark,100
Behaviour or inexperience,Aggressive driving,E12000007,London,E09000028,Southwark,24
Behaviour or inexperience,"Driver/Rider careless, reckless or in a hurry",E12000007,London,E09000028,Southwark,72
Behaviour or inexperience,"Driver/Rider nervous, uncertain or panic",E12000007,London,E09000028,Southwark,8
Behaviour or inexperience,Driving too slow for conditions or slow veh (eg tractor),E12000007,London,E09000028,Southwark,0
Behaviour or inexperience,Learner or inexperienced driver/rider,E12000007,London,E09000028,Southwark,11
Behaviour or inexperience,Inexperience of driving on the left,E12000007,London,E09000028,Southwark,1
Behaviour or inexperience,Unfamiliar with model of vehicle,E12000007,London,E09000028,Southwark,1
Vision affected by external factors,Vision affected by external factors,E12000007,London,E09000028,Southwark,41
Vision affected by external factors,Stationary or parked vehicle(s),E12000007,London,E09000028,Southwark,14
Vision affected by external factors,Vegetation,E12000007,London,E09000028,Southwark,1
Vision affected by external factors,"Road layout (eg. bend, winding road, hill crest)",E12000007,London,E09000028,Southwark,4
Vision affected by external factors,"Buildings, road signs, street furniture",E12000007,London,E09000028,Southwark,0
Vision affected by external factors,Dazzling headlights,E12000007,London,E09000028,Southwark,1
Vision affected by external factors,Dazzling sun,E12000007,London,E09000028,Southwark,9
Vision affected by external factors,"Rain, sleet, snow, or fog",E12000007,London,E09000028,Southwark,4
Vision affected by external factors,Spray from other vehicles,E12000007,London,E09000028,Southwark,0
Vision affected by external factors,"Visor or windscreen dirty, scratched or frosted etc.",E12000007,London,E09000028,Southwark,1
Vision affected by external factors,Vehicle blind spot,E12000007,London,E09000028,Southwark,10
Pedestrian only (casualty or uninjured),Pedestrian only (casualty or uninjured),E12000007,London,E09000028,Southwark,69
Pedestrian only (casualty or uninjured),Crossing road masked by stationary or parked vehicle,E12000007,London,E09000028,Southwark,8
Pedestrian only (casualty or uninjured),Pedestrian failed to look properly,E12000007,London,E09000028,Southwark,46
Pedestrian only (casualty or uninjured),Pedestrian failed to judge vehicle`s path or speed,E12000007,London,E09000028,Southwark,13
Pedestrian only (casualty or uninjured),Pedestrian wrong use of pedestrian crossing facility,E12000007,London,E09000028,Southwark,11
Pedestrian only (casualty or uninjured),Dangerous action in carriageway (eg. playing),E12000007,London,E09000028,Southwark,1
Pedestrian only (casualty or uninjured),Pedestrian impaired by alcohol,E12000007,London,E09000028,Southwark,12
Pedestrian only (casualty or uninjured),Pedestrian impaired by drugs (illicit or medicinal),E12000007,London,E09000028,Southwark,3
Pedestrian only (casualty or uninjured),"Pedestrian careless, reckless or in a hurry",E12000007,London,E09000028,Southwark,22
Pedestrian only (casualty or uninjured),Pedestrian wearing dark clothing at night,E12000007,London,E09000028,Southwark,2
Pedestrian only (casualty or uninjured),"Pedestrian disability or illness, mental or physical",E12000007,London,E09000028,Southwark,2
Special codes,Special Codes,E12000007,London,E09000028,Southwark,20
Special codes,Stolen vehicle,E12000007,London,E09000028,Southwark,1
Special codes,Vehicle in course of crime,E12000007,London,E09000028,Southwark,2
Special codes,Emergency vehicle on a call,E12000007,London,E09000028,Southwark,1
Special codes,Vehicle door opened or closed negligently,E12000007,London,E09000028,Southwark,1
Special codes,Other,E12000007,London,E09000028,Southwark,15
Any CF,Any CF,E12000007,London,E09000028,Southwark,546
Road environment contributed,Road environment contributed,E12000007,London,E09000029,Sutton,19
Road environment contributed,Poor or defective road surface ,E12000007,London,E09000029,Sutton,0
Road environment contributed,"Deposit on road (eg. oil, mud, chippings)",E12000007,London,E09000029,Sutton,0
Road environment contributed,Slippery road (due to weather),E12000007,London,E09000029,Sutton,12
Road environment contributed,Inadequate or masked signs or road markings,E12000007,London,E09000029,Sutton,1
Road environment contributed,Defective traffic signals,E12000007,London,E09000029,Sutton,0
Road environment contributed,"Traffic calming (eg. road humps, chicane)",E12000007,London,E09000029,Sutton,0
Road environment contributed,Temporary road layout (eg. contraflow),E12000007,London,E09000029,Sutton,1
Road environment contributed,"Road layout (eg. bend, hill, narrow road)",E12000007,London,E09000029,Sutton,6
Road environment contributed,Animal or object in carriageway ,E12000007,London,E09000029,Sutton,0
